(0,8)
(0,10)
(1,11)
(1,39)
(2,9)
(2,12)
(3,13)
(3,39)
(4,10)
(4,28)
(5,11)
(5,23)
(6,12)
(6,19)
(7,13)
(7,30)
(8,58)
(9,17)
(14,39)
(14,55)
(15,16)
(15,18)
(16,73)
(17,57)
(18,24)
(19,81)
(20,25)
(20,80)
(21,26)
(21,79)
(22,27)
(22,51)
(23,76)
(24,78)
(25,53)
(26,53)
(27,49)
(28,66)
(29,33)
(29,68)
(30,44)
(31,37)
(31,69)
(32,36)
(32,69)
(33,35)
(34,35)
(34,71)
(36,47)
(37,47)
(38,39)
(38,41)
(39,58)
(39,61)
(39,63)
(39,65)
(40,41)
(40,74)
(40,80)
(40,82)
(42,50)
(42,52)
(42,55)
(42,86)
(43,45)
(43,47)
(43,49)
(43,56)
(43,79)
(43,80)
(44,48)
(44,50)
(44,52)
(44,55)
(44,74)
(45,51)
(45,53)
(45,54)
(45,69)
(45,70)
(46,48)
(46,50)
(46,55)
(46,90)
(47,51)
(47,54)
(47,89)
(48,57)
(48,88)
(49,51)
(49,53)
(49,69)
(49,70)
(50,57)
(51,56)
(51,80)
(52,57)
(52,83)
(53,56)
(53,87)
(54,56)
(54,58)
(55,57)
(55,61)
(57,65)
(58,63)
(59,60)
(59,62)
(60,64)
(62,64)
(66,69)
(66,70)
(66,89)
(67,68)
(67,91)
(68,71)
(68,73)
(69,80)
(70,79)
(71,72)
(71,78)
(72,92)
(73,75)
(73,78)
(75,85)
(76,79)
(76,80)
(76,87)
(77,78)
(77,84)
(81,82)
(83,86)
(84,85)
(88,90)
(91,92)
